id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
56,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,TON,2016
57,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2016
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,59,TON,2016
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,117,TON,2016
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45,TON,2016
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,56,TON,2016
62,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2016
63,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30,TON,2016
64,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4,TON,2016
65,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,319,TON,2016
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2016
67,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4,TON,2016
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2016
69,32,JAWA BARAT,3213,KABUPATEN SUBANG,53,TON,2016
70,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,361,TON,2016
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,43,TON,2016
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,101,TON,2016
73,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2016
74,32,JAWA BARAT,3279,KOTA BANJAR,24,TON,2016
75,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2016
76,32,JAWA BARAT,3271,KOTA BOGOR,5,TON,2016
77,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2016
78,32,JAWA BARAT,3274,KOTA CIREBON,7,TON,2016
79,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016
80,32,JAWA BARAT,3272,KOTA SUKABUMI,84,TON,2016
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52,TON,2016
82,32,JAWA BARAT,3204,KABUPATEN BANDUNG,46,TON,2017
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,TON,2017
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2017
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,83,TON,2017
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,118,TON,2017
87,32,JAWA BARAT,3203,KABUPATEN CIANJUR,47,TON,2017
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,67,TON,2017
89,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2017
90,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,65,TON,2017
91,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4,TON,2017
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,269,TON,2017
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2017
94,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,TON,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2017
96,32,JAWA BARAT,3213,KABUPATEN SUBANG,87,TON,2017
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,364,TON,2017
98,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25,TON,2017
99,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,95,TON,2017
100,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2017
101,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2017
102,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017
103,32,JAWA BARAT,3271,KOTA BOGOR,2,TON,2017
104,32,JAWA BARAT,3277,KOTA CIMAHI,1,TON,2017
105,32,JAWA BARAT,3274,KOTA CIREBON,6,TON,2017
106,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017
107,32,JAWA BARAT,3272,KOTA SUKABUMI,135,TON,2017
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,52,TON,2017
109,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2018
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,18,TON,2018
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2018
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,161,TON,2018
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1,TON,2018
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,47,TON,2018
115,32,JAWA BARAT,3209,KABUPATEN CIREBON,44,TON,2018
116,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2018
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2018
118,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2018
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,233,TON,2018
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2018
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12,TON,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2018
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,TON,2018
124,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,334,TON,2018
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,28,TON,2018
126,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,TON,2018
127,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2018
128,32,JAWA BARAT,3279,KOTA BANJAR,23,TON,2018
129,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018
130,32,JAWA BARAT,3271,KOTA BOGOR,1,TON,2018
131,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2018
132,32,JAWA BARAT,3274,KOTA CIREBON,7,TON,2018
133,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2018
134,32,JAWA BARAT,3272,KOTA SUKABUMI,79,TON,2018
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,53,TON,2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,142,TON,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,388,TON,2019
